highestBiostratigraphicZone	nomenclaturalStatus	associatedTaxa	latestEpochOrHighestSeries	informationWithheld	minimumDistanceAboveSurfaceInMeters	behavior	verbatimLongitude	countryCode	associatedSequences	habitat	islandGroup	nomenclaturalCode	earliestEonOrLowestEonothem	year	taxonID	continent	nameAccordingTo	latestEraOrHighestErathem	eventID	nameAccordingToID	decimalLongitude	identifiedBy	latestEonOrHighestEonothem	catalogNumber	eventRemarks	taxonRank	verbatimDepth	originalNameUsageID	rightsHolder	lowestBiostratigraphicZone	bibliographicCitation	island	associatedMedia	group	endDayOfYear	individualCount	occurrenceRemarks	disposition	collectionID	earliestPeriodOrLowestSystem	county	eventDate	earliestEpochOrLowestSeries	formation	references	language	decimalLatitude	startDayOfYear	fieldNotes	municipality	namePublishedInYear	associatedReferences	georeferenceVerificationStatus	datasetName	locality	identificationID	type	scientificNameID	verbatimLatitude	occurrenceID	verbatimTaxonRank	verbatimSRS	order	georeferenceProtocol	locationAccordingTo	originalNameUsage	geodeticDatum	infraspecificEpithet	establishmentMeans	parentNameUsage	taxonRemarks	footprintSRS	collectionCode	class	family	footprintWKT	georeferenceRemarks	lithostratigraphicTerms	geologicalContextID	dateIdentified	higherGeographyID	pointRadiusSpatialFit	dynamicProperties	verbatimLocality	modified	month	earliestEraOrLowestErathem	samplingProtocol	footprintSpatialFit	namePublishedIn	georeferenceSources	identificationRemarks	taxonConceptID	accessRights	lifeStage	acceptedNameUsage	verbatimEventDate	typeStatus	maximumDepthInMeters	preparations	georeferencedDate	institutionID	verbatimCoordinates	vernacularName	bed	minimumElevationInMeters	maximumElevationInMeters	rights	scientificName	identificationReferences	day	fieldNumber	parentNameUsageID	acceptedNameUsageID	identificationQualifier	dataGeneralizations	sex	previousIdentifications	georeferencedBy	latestPeriodOrHighestSystem	kingdom	basisOfRecord	verbatimCoordinateSystem	waterBody	phylum	ownerInstitutionCode	latestAgeOrHighestStage	occurrenceStatus	higherClassification	institutionCode	recordedBy	datasetID	individualID	samplingEffort	member	scientificNameAuthorship	locationID	higherGeography	genus	associatedOccurrences	verbatimElevation	maximumDistanceAboveSurfaceInMeters	minimumDepthInMeters	stateProvince	taxonomicStatus	specificEpithet	subgenus	coordinatePrecision	eventTime	country	coordinateUncertaintyInMeters	identificationVerificationStatus	otherCatalogNumbers	earliestAgeOrLowestStage	recordNumber	reproductiveCondition	locationRemarks	namePublishedInID
								US				ICZN		1959		North America								1518		species									96	1					Santa Barbara	1959-04-06				en		96							3 mi. N Santa Barbara, Rattlesnake Cyn		PhysicalObject			urn:catalog:CCBER:Mammals:1518			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 146	North America; United States; California; Santa Barbara County; 3 mi. N Santa Barbara, Rattlesnake Cyn	2013-12-24	4									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Reithrodontomys megalotis		6						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Cricetidae:Reithrodontomys	CCBER	Erickson, Craig							North America;United States;California;Santa Barbara County;;;;	Reithrodontomys					California		megalotis				United States					8			
								US				ICZN		1963		North America								1519		species									91	1	Collected in April 1963				San Bernardino	1963-04-01				en		91							Mojave Desert granite outcrop, hills 6 mi. NW of Joshua tree		PhysicalObject			urn:catalog:CCBER:Mammals:1519			Rodentia						native				Mammals	Mammalia	Heteromyidae								total length in mm: 215	North America; United States; California; San Bernardino County; Mojave Desert granite outcrop, hills 6 mi. NW of Joshua tree	2013-12-24	4									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Perognathus longimembris		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Heteromyidae:Perognathus	CCBER	Foley, Marie							North America;United States;California;San Bernardino County;;;;	Perognathus					California		longimembris				United States					6			
								US				ICZN		1959		North America								1520		species									110	1					Santa Barbara	1959-04-20				en		110							10 mi. NW Santa Barbara, Painted Cave Rd., near hwy. 154		PhysicalObject			urn:catalog:CCBER:Mammals:1520			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 221	North America; United States; California; Santa Barbara County; 10 mi. NW Santa Barbara, Painted Cave Rd., near hwy. 154	2013-12-24	4									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Peromyscus californicus		20						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Cricetidae:Peromyscus	CCBER	Hawlett, Alice							North America;United States;California;Santa Barbara County;;;;	Peromyscus					California		californicus				United States					1			
								US				ICZN		1948		North America								1521		species									92	1	Collected in April 1948				Kern	1948-04-01				en		92							Jawbone Canyon		PhysicalObject			urn:catalog:CCBER:Mammals:1521			Rodentia						native				Mammals	Mammalia	Heteromyidae									North America; United States; California; Kern County; Jawbone Canyon	2013-12-24	4														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Perognathus formosus		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Heteromyidae:Perognathus	CCBER	Erickson, Mary							North America;United States;California;Kern County;;;;	Perognathus					California		formosus				United States					1201			
								US				ICZN		1940		North America								1522		species									306	1					Santa Barbara	1940-11-01				en		306							Mission Canyon		PhysicalObject			urn:catalog:CCBER:Mammals:1522			Rodentia						native				Mammals	Mammalia	Cricetidae									North America; United States; California; Santa Barbara County; Mission Canyon	2013-12-24	11																						http://creativecommons.org/publicdomain/zero/1.0/	Peromyscus boylii		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Cricetidae:Peromyscus	CCBER	Erickson, Mary							North America;United States;California;Santa Barbara County;;;;	Peromyscus					California		boylii				United States								
								US				ICZN		1961		North America								1523		species									305	1	Caught in hay barn; Collected in November 1961				Santa Barbara	1961-11-01				en		305							Goleta, Stow Ranch		PhysicalObject			urn:catalog:CCBER:Mammals:1523			Rodentia						native				Mammals	Mammalia	Muridae									North America; United States; California; Santa Barbara County; Goleta, Stow Ranch	2013-12-24	11									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Mus musculus		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Muridae:Mus	CCBER	Lauter, Wolf							North America;United States;California;Santa Barbara County;;;;	Mus					California		musculus				United States					10			
								US				ICZN		1953		North America								1525		species									91	1					Fresno	1953-04-01				en		91							Los Gatos Canyon		PhysicalObject			urn:catalog:CCBER:Mammals:1525			Rodentia						native				Mammals	Mammalia	Cricetidae									North America; United States; California; Fresno County; Los Gatos Canyon	2013-12-24	4																						http://creativecommons.org/publicdomain/zero/1.0/	Microtus californicus		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Muridae:Microtus	CCBER	Wilson, Harold							North America;United States;California;Fresno County;;;;	Microtus					California		californicus				United States								
								US				ICZN		1946		North America								1526		species									213	1	Collected in August 1946				Napa	1946-08-01				en		213							1/2 mi. S Angwin		PhysicalObject			urn:catalog:CCBER:Mammals:1526			Chiroptera						native				Mammals	Mammalia	Vespertilionidae								total length in mm: 94	North America; United States; California; Napa County; 1/2 mi. S Angwin	2013-12-24	8														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Myotis thysanodes		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Chiroptera:Vespertilionidae:Myotis	CCBER	Ramage, Mary							North America;United States;California;Napa County;;;;	Myotis					California		thysanodes				United States					467			
								US				ICZN		1962		North America								1528		species									1	1	Comes from the county trapper; Collected in 1962				Santa Barbara	1962-01-01				en		1							No data		PhysicalObject			urn:catalog:CCBER:Mammals:1528			Carnivora						native				Mammals	Mammalia	Canidae									North America; United States; California; Santa Barbara County; No data	2013-12-24	1														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Canis latrans		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Canidae:Canis	CCBER								North America;United States;California;Santa Barbara County;;;;	Canis					California		latrans				United States								
								US				ICZN		1945		North America								1530		species									138	1					Santa Barbara	1945-05-18				en		138							Santa Barbara		PhysicalObject			urn:catalog:CCBER:Mammals:1530			Chiroptera						native				Mammals	Mammalia	Vespertilionidae								total length in mm: 87	North America; United States; California; Santa Barbara County; Santa Barbara	2013-12-24	5														Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Plecotus townsendii		18						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Chiroptera:Vespertilionidae:Plecotus	CCBER	Erickson, Mary							North America;United States;California;Santa Barbara County;;;;	Plecotus					California		townsendii				United States					1086			
								US				ICZN		1940		North America						Panza, Robin		1531		species									245	1	Collected in September 1940				Alameda	1940-09-01				en		245							No data		PhysicalObject			urn:catalog:CCBER:Mammals:1531			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 194	North America; United States; California; Alameda County; No data	2013-12-24	9														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Peromyscus boylii		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Cricetidae:Peromyscus	CCBER	Hempill, D.							North America;United States;California;Alameda County;;;;	Peromyscus					California		boylii				United States								
								US				ICZN		1954		North America								1533		species									91	1	Collected in April 1954				Santa Barbara	1954-04-01				en		91							Santa Barbara Mesa, Welch and Griffith property		PhysicalObject			urn:catalog:CCBER:Mammals:1533			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 385	North America; United States; California; Santa Barbara County; Santa Barbara Mesa, Welch and Griffith property	2013-12-24	4														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Spermophilus beecheyi		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Spermophilus	CCBER								North America;United States;California;Santa Barbara County;;;;	Spermophilus					California		beecheyi				United States								
								US				ICZN		1960		North America								1534		species									153	1	Collected in June 1960				Santa Barbara	1960-06-01				en		153							San Marcos Pass Rd., 4 mi. N summit		PhysicalObject			urn:catalog:CCBER:Mammals:1534			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 522	North America; United States; California; Santa Barbara County; San Marcos Pass Rd., 4 mi. N summit	2013-12-24	6									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Sciurus griseus		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Sciurus	CCBER	Askin, Craig							North America;United States;California;Santa Barbara County;;;;	Sciurus					California		griseus				United States					1			
								US				ICZN		1955		North America								1535		species									274	1	Collected in October 1955				Nevada	1955-10-01				en		274							3.5 mi. NW Hobart Mills		PhysicalObject			urn:catalog:CCBER:Mammals:1535			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 338	North America; United States; California; Nevada County; 3.5 mi. NW Hobart Mills	2013-12-24	10														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Tamiasciurus douglasii		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Tamiasciurus	CCBER								North America;United States;California;Nevada County;;;;	Tamiasciurus					California		douglasii				United States								
								US				ICZN		1961		North America								1537		species									121	1	Dead on road; Collected in May 1961				Santa Barbara	1961-05-01				en		121							Isla Vista, Sabado Tarde Rd.		PhysicalObject			urn:catalog:CCBER:Mammals:1537			Carnivora						native				Mammals	Mammalia	Mustelidae								total length in mm: 430	North America; United States; California; Santa Barbara County; Isla Vista, Sabado Tarde Rd.	2013-12-24	5									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Mustela frenata		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Mustelidae:Mustela	CCBER	Lauter, Wolf							North America;United States;California;Santa Barbara County;;;;	Mustela					California		frenata				United States					7			
								US				ICZN		1951		North America								1538		species									133	1					Tulare	1951-05-13				en		133							Hwy 65 between Springville and Porterville		PhysicalObject			urn:catalog:CCBER:Mammals:1538			Carnivora						native				Mammals	Mammalia	Mustelidae								total length in mm: 546	North America; United States; California; Tulare County; Hwy 65 between Springville and Porterville	2013-12-24	5									adult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Taxidea taxus		13						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Mustelidae:Taxidea	CCBER	Erickson, Mary							North America;United States;California;Tulare County;;;;	Taxidea					California		taxus				United States					1679			
								US				ICZN		1947		North America								1539		species									152	1	Dead on road				Santa Barbara	1947-06-01				en		152							Santa Barbara, Foothill Rd., near Alamar Ave.		PhysicalObject			urn:catalog:CCBER:Mammals:1539			Carnivora						native				Mammals	Mammalia	Mephitidae								total length in mm: 495	North America; United States; California; Santa Barbara County; Santa Barbara, Foothill Rd., near Alamar Ave.	2013-12-24	6									immature					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Mephitis mephitis		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Mephitidae:Mephitis	CCBER	Erickson, Mary							North America;United States;California;Santa Barbara County;;;;	Mephitis					California		mephitis				United States					1189			
								US				ICZN		1953		North America								1540		species									60	1	Collected in March 1953				Santa Barbara	1953-03-01				en		60							Santa Barbara		PhysicalObject			urn:catalog:CCBER:Mammals:1540			Soricomorpha						native				Mammals	Mammalia	Talpidae								total length in mm: 167	North America; United States; California; Santa Barbara County; Santa Barbara	2013-12-24	3														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Scapanus latimanus		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Insectivora:Talpidae:Scapanus	CCBER								North America;United States;California;Santa Barbara County;;;;	Scapanus					California		latimanus				United States								
